map,i,start,goal_near,goal_far,closed,forward,backward
brc100d.map,93,19846,30806,49851,9570,7438,16628
brc100d.map,94,16649,15969,31657,570,377,2856
brc100d.map,95,10086,29238,53781,9692,6798,13501
brc100d.map,96,24928,47769,80399,4495,4852,10735
brc100d.map,97,63128,45161,67269,863,3558,7028
brc100d.map,98,24184,50643,87109,16833,1320,1820
brc100d.map,99,58193,38190,71011,67,4217,3851
brc101d.map,0,95328,117233,59937,2141,823,416
brc101d.map,1,140336,100974,96921,1458,1513,2152
brc101d.map,2,100442,138572,60549,1309,938,7264
brc101d.map,3,148240,99092,74826,3652,2260,6274
brc101d.map,4,78216,28553,100467,8040,2215,524
brc101d.map,5,79848,108359,139153,690,10354,8032
brc101d.map,6,74201,81822,90621,357,27,986
brc101d.map,7,66007,92437,54151,115,212,152
brc101d.map,8,54825,71363,85894,3325,121,639
brc101d.map,9,147312,153868,59933,81,5139,10279
brc101d.map,10,126386,113756,66955,102,698,3688
brc101d.map,11,78536,65607,99702,56,296,128
brc101d.map,12,106464,57704,57996,1473,54,54
brc101d.map,13,58824,42134,144806,570,12663,12718
brc101d.map,14,93064,109378,138525,119,9414,7108
brc101d.map,15,82043,83387,61314,308,169,121
brc101d.map,16,56776,80773,96484,336,2952,1627
brc101d.map,17,46246,111495,112518,4991,754,329
brc101d.map,18,84243,127115,113395,2429,538,4267
brc101d.map,19,52353,60218,129323,74,5867,1586
brc101d.map,20,83936,94634,148266,47,7256,5109
brc101d.map,21,150752,146382,109061,88,6691,7333
brc101d.map,22,61204,23181,120364,9315,217,3698
brc101d.map,23,96489,106139,113388,2296,149,1905
brc101d.map,24,114421,27277,8695,13367,59,2372
brc101d.map,25,150749,121773,137914,1483,77,62
brc101d.map,26,143848,94966,58485,5017,5444,9246
brc101d.map,27,73562,24138,10565,4089,1187,3696
brc101d.map,28,123771,62581,69070,7346,550,4646
brc101d.map,29,86129,107907,53822,114,288,334
brc101d.map,30,119756,114199,86847,4467,709,2489
brc101d.map,31,133850,135713,132450,35,3025,1963
brc101d.map,32,131312,93058,71049,5865,78,3134
brc101d.map,33,137281,130049,76321,163,6284,11585
brc101d.map,34,154495,111035,106095,2683,5861,3127
brc101d.map,35,83066,56012,133715,2268,2395,1406
brc101d.map,36,57994,50087,151382,72,10282,4597
brc101d.map,37,58208,96818,152916,610,6643,9906
